;;;;;;POTENCIA;;;;;;ENERGIA;;;;;
sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;15;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,277546 €;0,256293 €;0,228523 €;0,210256 €;0,190598 €;0,188448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;20;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,282546 €;0,261293 €;0,233523 €;0,215256 €;0,195598 €;0,193448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;20;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,282546 €;0,261293 €;0,233523 €;0,215256 €;0,195598 €;0,193448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;20;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,282546 €;0,261293 €;0,233523 €;0,215256 €;0,195598 €;0,193448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;25;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,287546 €;0,266293 €;0,238523 €;0,220256 €;0,200598 €;0,198448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;25;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,287546 €;0,266293 €;0,238523 €;0,220256 €;0,200598 €;0,198448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;25;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,287546 €;0,266293 €;0,238523 €;0,220256 €;0,200598 €;0,198448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;30;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,292546 €;0,271293 €;0,243523 €;0,225256 €;0,205598 €;0,203448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;30;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,292546 €;0,271293 €;0,243523 €;0,225256 €;0,205598 €;0,203448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;30;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,292546 €;0,271293 €;0,243523 €;0,225256 €;0,205598 €;0,203448 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;1,5;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,228508 €;0,205280 €;0,193105 €;0,184870 €;0,171187 €;0,158153 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;1,5;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,228508 €;0,205280 €;0,193105 €;0,184870 €;0,171187 €;0,158153 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;1,5;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,228508 €;0,205280 €;0,193105 €;0,184870 €;0,171187 €;0,158153 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;3;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,230008 €;0,206780 €;0,194605 €;0,186370 €;0,172687 €;0,159653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;3;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,230008 €;0,206780 €;0,194605 €;0,186370 €;0,172687 €;0,159653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;3;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,230008 €;0,206780 €;0,194605 €;0,186370 €;0,172687 €;0,159653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;4;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,231008 €;0,207780 €;0,195605 €;0,187370 €;0,173687 €;0,160653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;4;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,231008 €;0,207780 €;0,195605 €;0,187370 €;0,173687 €;0,160653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;4;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,231008 €;0,207780 €;0,195605 €;0,187370 €;0,173687 €;0,160653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;5;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,232008 €;0,208780 €;0,196605 €;0,188370 €;0,174687 €;0,161653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;5;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,232008 €;0,208780 €;0,196605 €;0,188370 €;0,174687 €;0,161653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;5;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,232008 €;0,208780 €;0,196605 €;0,188370 €;0,174687 €;0,161653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;6;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,233008 €;0,209780 €;0,197605 €;0,189370 €;0,175687 €;0,162653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;6;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,233008 €;0,209780 €;0,197605 €;0,189370 €;0,175687 €;0,162653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;6;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,233008 €;0,209780 €;0,197605 €;0,189370 €;0,175687 €;0,162653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;8;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,235008 €;0,211780 €;0,199605 €;0,191370 €;0,177687 €;0,164653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;8;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,235008 €;0,211780 €;0,199605 €;0,191370 €;0,177687 €;0,164653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;8;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,235008 €;0,211780 €;0,199605 €;0,191370 €;0,177687 €;0,164653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;10;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,237008 €;0,213780 €;0,201605 €;0,193370 €;0,179687 €;0,166653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;10;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,237008 €;0,213780 €;0,201605 €;0,193370 €;0,179687 €;0,166653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;10;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,237008 €;0,213780 €;0,201605 €;0,193370 €;0,179687 €;0,166653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;15;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,242008 €;0,218780 €;0,206605 €;0,198370 €;0,184687 €;0,171653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;15;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,242008 €;0,218780 €;0,206605 €;0,198370 €;0,184687 €;0,171653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;15;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,242008 €;0,218780 €;0,206605 €;0,198370 €;0,184687 €;0,171653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;20;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,247008 €;0,223780 €;0,211605 €;0,203370 €;0,189687 €;0,176653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;20;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,247008 €;0,223780 €;0,211605 €;0,203370 €;0,189687 €;0,176653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;20;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,247008 €;0,223780 €;0,211605 €;0,203370 €;0,189687 €;0,176653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;25;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,252008 €;0,228780 €;0,216605 €;0,208370 €;0,194687 €;0,181653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;25;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,252008 €;0,228780 €;0,216605 €;0,208370 €;0,194687 €;0,181653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;25;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,252008 €;0,228780 €;0,216605 €;0,208370 €;0,194687 €;0,181653 €
BALEARES;AEQ;FIJO;ARMONIA;6.1TD;30;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,257008 €;0,233780 €;0,221605 €;0,213370 €;0,199687 €;0,186653 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.1TD;30;0,062918 €;0,054359 €;0,036514 €;0,031673 €;0,013448 €;0,011367 €;0,257008 €;0,233780 €;0,221605 €;0,213370 €;0,199687 €;0,186653 €
BALEARES;AEQ;FIJO;SIMETRIA;6.1TD;30;0,062918 €;0,054359 €;0,043706 €;0,038865 €;0,020640 €;0,018559 €;0,257008 €;0,233780 €;0,221605 €;0,213370 €;0,199687 €;0,186653 €
BALEARES;AEQ;FIJO;ARMONIA;6.2TD;1,5;0,043360 €;0,040165 €;0,017108 €;0,013475 €;0,003281 €;0,002059 €;0,209897 €;0,187900 €;0,191739 €;0,174815 €;0,161056 €;0,156441 €
BALEARES;AEQ;FIJO;EQUILIBRIO;6.2TD;1,5;0,043360 €;0,040165 €;0,025327 €;0,021694 €;0,011501 €;0,010279 €;0,209897 €;0,187900 €;0,191739 €;0,174815 €;0,161056 €;0,156441 €
