-;;;;;;;;8;9;10;11;12;13;14;15;16;17;18;19
-;;;;;;;;POTENCIA (€/kW/día);;;;;;ENERGIA (€/kWh);;;;;
-;soporte;CIA;SISTEMA;CIA;Producto CIA (potencia);Transporte Distribución;fee;P1;P2;P3;P4;P5;P6;P1;P2;P3;P4;P5;P6
-;CANARIASACCIONAFIJOTRAMONTANA+6.1TD-;ACCIONA;CANARIAS;;TRAMONTANA+;6.1TD;-; 0,06416 € ; 0,05855 € ; 0,03419 € ; 0,02755 € ; 0,00820 € ; 0,00599 € ; 0,28436 € ; 0,29438 € ; 0,27439 € ; 0,25652 € ; 0,24289 € ; 0,23910 € 
-;CANARIASACCIONAFIJOCIERZO6.2TD-;ACCIONA;CANARIAS;;CIERZO;6.2TD;-; 0,06027 € ; 0,05698 € ; 0,03705 € ; 0,03541 € ; 0,01998 € ; 0,01868 € ; 0,26566 € ; 0,27859 € ; 0,26382 € ; 0,24924 € ; 0,23996 € ; 0,23332 € 
-;CANARIASACCIONAFIJOLEVANTE6.2TD-;ACCIONA;CANARIAS;;LEVANTE;6.2TD;-; 0,04383 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,27683 € ; 0,28976 € ; 0,27498 € ; 0,26040 € ; 0,25112 € ; 0,24448 € 
-;CANARIASACCIONAFIJOLEVANTE+6.2TD-;ACCIONA;CANARIAS;;LEVANTE+;6.2TD;-; 0,05479 € ; 0,05150 € ; 0,03157 € ; 0,02993 € ; 0,01450 € ; 0,01320 € ; 0,27683 € ; 0,28976 € ; 0,27498 € ; 0,26040 € ; 0,25112 € ; 0,24448 € 
-;CANARIASACCIONAFIJOPONIENTE6.2TD-;ACCIONA;CANARIAS;;PONIENTE;6.2TD;-; 0,04383 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,27074 € ; 0,28367 € ; 0,26889 € ; 0,25431 € ; 0,24503 € ; 0,23839 € 
-;CANARIASACCIONAFIJOPONIENTE+6.2TD-;ACCIONA;CANARIAS;;PONIENTE+;6.2TD;-; 0,04931 € ; 0,04602 € ; 0,02609 € ; 0,02445 € ; 0,00902 € ; 0,00772 € ; 0,27074 € ; 0,28367 € ; 0,26889 € ; 0,25431 € ; 0,24503 € ; 0,23839 € 
-;CANARIASACCIONAFIJOTRAMONTANA6.2TD-;ACCIONA;CANARIAS;;TRAMONTANA;6.2TD;-; 0,04383 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,26566 € ; 0,27859 € ; 0,26382 € ; 0,24924 € ; 0,23996 € ; 0,23332 € 
-;CANARIASACCIONAFIJOTRAMONTANA+6.2TD-;ACCIONA;CANARIAS;;TRAMONTANA+;6.2TD;-; 0,04657 € ; 0,04328 € ; 0,02335 € ; 0,02171 € ; 0,00628 € ; 0,00498 € ; 0,26566 € ; 0,27859 € ; 0,26382 € ; 0,24924 € ; 0,23996 € ; 0,23332 € 
-;BALEARESACCIONAFIJOCIERZO2.0TD-;ACCIONA;BALEARES;;CIERZO;2.0TD;-; 0,08812 € ; 0,01957 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;BALEARESACCIONAFIJOLEVANTE2.0TD-;ACCIONA;BALEARES;;LEVANTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36760 € ; 0,31653 € ; 0,27791 € ; -   € ; -   € ; -   € 
